;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
nutrir;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
náusea;-0.1381;0.1918;0.3416;0.6584;0.0003;0.0008;0.00632;1.0
observar;-0.4735;-0.2492;0.7831;0.2169;0.003;0.001;0.00492;1.0
oferecer;-0.2305;0.2222;0.5183;0.4817;0.0003;0.0004;0.00246;1.0
ontem;0.4274;0.0058;0.9998;0.0002;0.0014;0.0;0.00281;1.0
oral;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
ovo;0.6697;-0.074;0.9879;0.0121;0.0017;0.0;0.0014;1.0
paladar;0.8775;-0.1423;0.9744;0.0256;0.0051;0.0002;0.00246;1.0
parar;0.0969;0.1145;0.4173;0.5827;0.0001;0.0002;0.00386;1.0
parecer;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
passar;-0.4997;0.008;0.9997;0.0003;0.012;0.0;0.01791;1.0
pedaço;1.1545;-0.2334;0.9607;0.0393;0.0025;0.0001;0.0007;1.0
pedir;0.5082;-0.0208;0.9983;0.0017;0.0022;0.0;0.00316;1.0
pensar;-0.3536;0.2627;0.6444;0.3556;0.0011;0.0007;0.00316;1.0
pequeno;0.6005;-0.0512;0.9928;0.0072;0.0024;0.0;0.00246;1.0
perceber;-0.2305;0.2222;0.5183;0.4817;0.0003;0.0004;0.00246;1.0
perder;-0.6293;0.3534;0.7603;0.2397;0.0093;0.0036;0.00878;1.0
perguntar;0.6697;-0.074;0.9879;0.0121;0.0017;0.0;0.0014;1.0
permanecer;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
período;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
peso;-0.7306;0.3867;0.7812;0.2188;0.0181;0.0062;0.01264;1.0
pesquisar;0.0773;0.1209;0.29;0.71;0.0001;0.0002;0.00316;1.0
