forma;parte;score
ritmo;G3;-0.1983
ruim;G3;1.7663
rápido;G3;0.5872
sabor;G3;0.5872
sabão;G3;-0.3969
sair;G3;1.4353
salgado;G3;-0.4631
salvar;G3;-0.2645
salvação;G3;-0.1322
saudável;G3;0.2226
seguro;G3;0.4358
seletivo;G3;-0.3307
semana;G3;0.4001
sensível;G3;1.9999
sentar;G3;-0.2005
sentir;G3;-1.1934
sofrer;G3;-0.3969
soltar;G3;0.2226
sonda;G3;0.7048
suco;G3;-0.4631
suplemento;G3;-0.4284
suprir;G3;-0.2645
tempero;G3;-0.3307
tomar;G3;-0.7379
tranquilo;G3;-0.5957
tratamento;G3;-0.2305
trocar;G3;1.2672
uso;G3;-0.5957
uti;G3;-0.3969
vender;G3;-0.3307
verdura;G3;-0.5936
verduras;G3;-0.3969
via;G3;-0.5957
vida;G3;1.0429
vitamina;G3;0.2733
voltar;G3;-0.3832
vomitar;G3;0.2712
vontade;G3;0.6929
ácido;G3;-0.1983
água;G3;-1.0539
ótimo;G3;1.0083
acabar;G5;0.761
aceitar;G5;0.562
acompanhar;G5;-0.5622
acostumar;G5;0.4558
acreditar;G5;2.0149
adaptar;G5;-0.1872
adiantar;G5;0.2382
adolescente;G5;-0.1248
adorar;G5;-0.3746
agradecer;G5;3.5004
ajudar;G5;0.4308
alimentação;G5;-0.9598
alteração;G5;-0.1872
alto;G5;-0.1248
ambiente;G5;-0.1872
amendoim;G5;-0.1872
apetite;G5;-0.4996
aprender;G5;-0.5622
apresentar;G5;-0.1872
arroz;G5;0.3088
arrumar;G5;-0.1872
atrapalhar;G5;1.0503
autismo;G5;-0.1872
azedo;G5;-0.0624
açúcar;G5;-0.4371
bastante;G5;0.8571
bater;G5;-0.8127
beber;G5;0.2712
bem;G5;-0.3952
benefício;G5;-0.1872
besteira;G5;1.4895
boca;G5;0.607
bola;G5;-0.1248
bolo;G5;-0.1248
bonito;G5;0.4558
botar;G5;-0.1872
braço;G5;-0.1872
brigar;G5;0.4558
básico;G5;-0.3746
cabeça;G5;-0.3121
café;G5;0.3593
carne;G5;0.3088
casa;G5;-0.4584
