forma;parte;score
salvação;4-6 meses;0.9715
saudável;4-6 meses;1.7905
seguro;4-6 meses;-0.516
seletivo;4-6 meses;0.6984
semana;4-6 meses;-0.7472
sensível;4-6 meses;-0.6881
sentar;4-6 meses;0.8703
sentir;4-6 meses;2.4987
sofrer;4-6 meses;0.1964
soltar;4-6 meses;0.5131
sonda;4-6 meses;0.3304
suco;4-6 meses;0.7871
suplemento;4-6 meses;0.2955
suprir;4-6 meses;0.4024
tempero;4-6 meses;2.4311
tomar;4-6 meses;0.4998
tranquilo;4-6 meses;0.2167
tratamento;4-6 meses;1.8136
trocar;4-6 meses;-0.516
uso;4-6 meses;-1.5499
uti;4-6 meses;-0.4392
vender;4-6 meses;-0.3246
verdura;4-6 meses;0.4334
verduras;4-6 meses;1.7905
via;4-6 meses;-0.8184
vida;4-6 meses;-0.3152
vitamina;4-6 meses;-0.3246
voltar;4-6 meses;-0.572
vomitar;4-6 meses;-0.5508
vontade;4-6 meses;0.1964
ácido;4-6 meses;-0.516
água;4-6 meses;-0.5249
ótimo;4-6 meses;-0.6881
acabar;7-12 meses;-0.6913
aceitar;7-12 meses;-0.4768
acompanhar;7-12 meses;-0.5654
acostumar;7-12 meses;-0.1882
acreditar;7-12 meses;-0.2573
adaptar;7-12 meses;0.4538
adiantar;7-12 meses;-0.3767
adolescente;7-12 meses;-0.1255
adorar;7-12 meses;0.2366
agradecer;7-12 meses;-0.251
ajudar;7-12 meses;-1.4487
alimentação;7-12 meses;0.245
alteração;7-12 meses;-0.1882
alto;7-12 meses;0.6005
ambiente;7-12 meses;-0.1882
amendoim;7-12 meses;-0.1882
apetite;7-12 meses;-0.5024
aprender;7-12 meses;-0.1846
apresentar;7-12 meses;1.3071
arroz;7-12 meses;1.1812
arrumar;7-12 meses;-0.1882
atrapalhar;7-12 meses;0.3575
autismo;7-12 meses;-0.1882
azedo;7-12 meses;-0.0627
açúcar;7-12 meses;1.2542
bastante;7-12 meses;-0.3478
bater;7-12 meses;0.2688
beber;7-12 meses;1.0683
bem;7-12 meses;-0.6078
benefício;7-12 meses;-0.1882
besteira;7-12 meses;-0.2846
boca;7-12 meses;-0.8173
bola;7-12 meses;-0.1255
bolo;7-12 meses;-0.1255
bonito;7-12 meses;0.4538
botar;7-12 meses;0.4538
braço;7-12 meses;-0.1882
brigar;7-12 meses;-0.1882
básico;7-12 meses;0.2366
cabeça;7-12 meses;-0.3139
café;7-12 meses;-0.251
carne;7-12 meses;0.674
casa;7-12 meses;-1.0064
casca;7-12 meses;0.3575
cheiro;7-12 meses;0.5398
comer;7-12 meses;-1.4927
começar;7-12 meses;0.9988
comida;7-12 meses;0.4492
comprar;7-12 meses;-0.6283
conhecimento;7-12 meses;-0.4396
conseguir;7-12 meses;0.5185
consulta;7-12 meses;0.4538
contar;7-12 meses;0.1962
continuar;7-12 meses;0.4005
conversar;7-12 meses;0.2886
corpo;7-12 meses;-0.5024
correr;7-12 meses;-0.1846
correto;7-12 meses;-0.3767
cortar;7-12 meses;-0.4396
cozinhar;7-12 meses;-0.3139
cru;7-12 meses;-0.251
cuidado;7-12 meses;-0.251
câncer;7-12 meses;-0.8803
danone;7-12 meses;-0.1255
dentro;7-12 meses;-0.251
depender;7-12 meses;0.2886
descobrir;7-12 meses;-0.3139
desconto;7-12 meses;-0.1255
deus;7-12 meses;-0.5062
diagnóstico;7-12 meses;-0.1882
diarreia;7-12 meses;-0.251
dieta;7-12 meses;-0.3767
diferente;7-12 meses;-0.3769
dificuldade;7-12 meses;-0.5207
digestão;7-12 meses;-0.1882
diminuir;7-12 meses;-0.6283
direto;7-12 meses;0.2366
doce;7-12 meses;0.8995
dor;7-12 meses;0.7269
dormir;7-12 meses;0.3575
doutor;7-12 meses;-1.0695
dúvida;7-12 meses;-0.6283
emagrecer;7-12 meses;-0.1882
engasgava;7-12 meses;-0.0627
engolir;7-12 meses;0.1962
engordar;7-12 meses;0.4605
enjoar;7-12 meses;-0.1725
entender;7-12 meses;0.4354
entrar;7-12 meses;0.2886
errado;7-12 meses;0.4538
específico;7-12 meses;-0.1882
esperar;7-12 meses;0.2886
essencial;7-12 meses;-0.3139
estômago;7-12 meses;0.2366
evitar;7-12 meses;-0.1882
exame;7-12 meses;-0.3139
exemplo;7-12 meses;-0.5654
experiência;7-12 meses;-0.3767
explicar;7-12 meses;0.3496
falado;7-12 meses;0.4538
falta;7-12 meses;-0.251
fase;7-12 meses;0.2366
feijão;7-12 meses;1.2542
final;7-12 meses;-0.1882
forma;7-12 meses;-0.251
forte;7-12 meses;0.2886
forçar;7-12 meses;0.8802
fraco;7-12 meses;-0.1255
frango;7-12 meses;0.2886
frente;7-12 meses;-0.1882
fruta;7-12 meses;1.6341
funcionar;7-12 meses;0.1962
furado;7-12 meses;-0.0627
fácil;7-12 meses;-0.5024
ganhar;7-12 meses;0.2366
garrafa;7-12 meses;-0.5654
gastrostomia;7-12 meses;1.8571
geral;7-12 meses;-0.3139
gostar;7-12 meses;1.0561
gosto;7-12 meses;0.9624
graça;7-12 meses;-0.3769
grosso;7-12 meses;0.4538
higiene;7-12 meses;0.2688
hipoclorito;7-12 meses;-0.2202
horrível;7-12 meses;0.4538
hospital;7-12 meses;-0.3358
importante;7-12 meses;-0.5024
imunidade;7-12 meses;-0.1509
incomodar;7-12 meses;-0.2202
independente;7-12 meses;-0.251
infecção;7-12 meses;-0.1882
interessante;7-12 meses;-0.3139
internar;7-12 meses;-0.3809
intestino;7-12 meses;-0.7542
introdução;7-12 meses;-0.1882
inventar;7-12 meses;0.4538
invocar;7-12 meses;-0.1255
início;7-12 meses;0.3062
japonês;7-12 meses;-0.1882
lado;7-12 meses;0.3575
legume;7-12 meses;-1.0695
leite;7-12 meses;0.3918
lembrar;7-12 meses;0.8639
levar;7-12 meses;-0.251
lidar;7-12 meses;-0.1882
líquido;7-12 meses;0.3575
macarrão;7-12 meses;-0.3767
machucar;7-12 meses;-0.3767
magro;7-12 meses;-0.3139
maior;7-12 meses;0.4005
mal;7-12 meses;0.4354
mandar;7-12 meses;-0.3139
manhã;7-12 meses;-0.251
manter;7-12 meses;-0.3769
mato;7-12 meses;0.4538
medida;7-12 meses;-0.1882
medo;7-12 meses;-1.259
melhorar;7-12 meses;0.6193
menos;7-12 meses;-0.226
metade;7-12 meses;0.8713
metotrexato;7-12 meses;1.2542
molho;7-12 meses;-0.1882
momento;7-12 meses;0.2886
monte;7-12 meses;0.4538
moído;7-12 meses;2.617
mudar;7-12 meses;0.3918
mundo;7-12 meses;0.2366
mão;7-12 meses;-0.1882
nariz;7-12 meses;1.0462
necessidade;7-12 meses;-0.2959
noite;7-12 meses;-0.3139
notar;7-12 meses;-0.251
nunca;7-12 meses;-0.2547
nutricionista;7-12 meses;-0.6283
nutrir;7-12 meses;-0.1882
náusea;7-12 meses;-0.551
observar;7-12 meses;0.2364
oferecer;7-12 meses;-0.4396
ontem;7-12 meses;-0.5024
oral;7-12 meses;0.4605
ovo;7-12 meses;-0.251
paladar;7-12 meses;-0.4396
parar;7-12 meses;0.3496
parecer;7-12 meses;0.9624
passar;7-12 meses;0.8602
pedaço;7-12 meses;-0.1255
pedir;7-12 meses;-0.5654
pensar;7-12 meses;-0.5654
pequeno;7-12 meses;-0.4396
perceber;7-12 meses;0.1962
perder;7-12 meses;-0.2512
perguntar;7-12 meses;-0.251
permanecer;7-12 meses;-0.1255
período;7-12 meses;0.3575
peso;7-12 meses;0.2651
pesquisar;7-12 meses;-0.5654
pessoa;7-12 meses;0.8639
pior;7-12 meses;0.4538
praticamente;7-12 meses;-0.1882
preciso;7-12 meses;-0.1882
preferir;7-12 meses;-0.1255
preso;7-12 meses;-0.7542
problema;7-12 meses;1.0683
procedimento;7-12 meses;0.4538
processo;7-12 meses;-0.1882
proibir;7-12 meses;-0.1882
puro;7-12 meses;0.4538
pó;7-12 meses;0.9624
pôr;7-12 meses;2.7708
qualidade;7-12 meses;-0.1882
quantidade;7-12 meses;-0.4396
queijo;7-12 meses;0.6005
querer;7-12 meses;1.063
questão;7-12 meses;-0.3478
quimioterapia;7-12 meses;-1.3914
receio;7-12 meses;0.7269
recurso;7-12 meses;-0.1882
relacionar;7-12 meses;0.1962
relutante;7-12 meses;1.7437
remédio;7-12 meses;-0.6762
resolver;7-12 meses;0.3575
respirar;7-12 meses;1.7437
ressecar;7-12 meses;-0.251
restrição;7-12 meses;0.4538
resultado;7-12 meses;1.3071
rim;7-12 meses;-0.1882
ritmo;7-12 meses;-0.1882
ruim;7-12 meses;-0.5024
rápido;7-12 meses;0.6193
sabor;7-12 meses;2.0933
sabão;7-12 meses;0.7269
sair;7-12 meses;0.2364
salgado;7-12 meses;2.0933
salvar;7-12 meses;-0.251
salvação;7-12 meses;-0.1255
saudável;7-12 meses;-0.3767
seguro;7-12 meses;-0.1882
seletivo;7-12 meses;-0.3139
semana;7-12 meses;0.4354
sensível;7-12 meses;-0.251
sentar;7-12 meses;0.4605
sentir;7-12 meses;-0.551
sofrer;7-12 meses;0.7269
soltar;7-12 meses;-0.3767
sonda;7-12 meses;1.0552
suco;7-12 meses;0.1962
suplemento;7-12 meses;-0.2346
suprir;7-12 meses;-0.251
tempero;7-12 meses;-0.3139
tomar;7-12 meses;0.675
tranquilo;7-12 meses;-0.1846
tratamento;7-12 meses;-0.415
trocar;7-12 meses;-0.1882
uso;7-12 meses;2.4691
uti;7-12 meses;0.2366
vender;7-12 meses;0.2886
verdura;7-12 meses;-1.1327
verduras;7-12 meses;-0.3767
via;7-12 meses;0.4605
vida;7-12 meses;-0.5024
vitamina;7-12 meses;0.8639
voltar;7-12 meses;-1.3222
vomitar;7-12 meses;0.5185
vontade;7-12 meses;-0.3767
ácido;7-12 meses;2.617
água;7-12 meses;0.5326
ótimo;7-12 meses;0.3575
