;aceitar;ajudar;alimentação;bastante;bater;beber;bem;besteira;boca;casa;cheiro;comer;começar;comida;conseguir;câncer;deus;diferente;dificuldade;doce;doutor;enjoar;entender;forçar;fruta;gastrostomia;gostar;graça;higiene;hospital;internar;legume;leite;mal;manter;medo;menos;mudar;nunca;náusea;observar;passar;perder;peso;problema;querer;questão;quimioterapia;remédio;sair;semana;sentir;sonda;suplemento;tomar;tratamento;verdura;voltar;vomitar;água
doutor;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;4.0;2.0;2.0;0.0;1.0;2.0;0.0;2.0;3.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;1.0;2.0;2.0;2.0;0.0;1.0;2.0;1.0;1.0;0.0;3.0;0.0;2.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0
enjoar;1.0;1.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;8.0;1.0;2.0;1.0;0.0;1.0;0.0;5.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;4.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;4.0;1.0;0.0;2.0;1.0;2.0
entender;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4.0;0.0;5.0;3.0;0.0;1.0;2.0;7.0;5.0;7.0;1.0;1.0;0.0;2.0;0.0
forçar;1.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;6.0;3.0;4.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;3.0;0.0;4.0;0.0;1.0;0.0;1.0;1.0;2.0;5.0;4.0;8.0;1.0;1.0;3.0;0.0;3.0
fruta;9.0;2.0;3.0;2.0;4.0;4.0;5.0;5.0;2.0;1.0;2.0;25.0;5.0;10.0;1.0;1.0;1.0;1.0;4.0;8.0;1.0;0.0;2.0;1.0;0.0;2.0;8.0;1.0;4.0;3.0;2.0;8.0;3.0;2.0;2.0;1.0;1.0;3.0;1.0;0.0;0.0;4.0;0.0;1.0;1.0;14.0;1.0;6.0;0.0;2.0;2.0;2.0;4.0;7.0;9.0;1.0;13.0;2.0;1.0;8.0
gastrostomia;6.0;5.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;3.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0;8.0;1.0;3.0;0.0;2.0;0.0;2.0;2.0;1.0;1.0;0.0;8.0;3.0;1.0;0.0;1.0;0.0;2.0;3.0
gostar;2.0;2.0;2.0;5.0;0.0;4.0;5.0;6.0;3.0;1.0;5.0;21.0;6.0;13.0;4.0;2.0;0.0;1.0;4.0;8.0;0.0;2.0;1.0;2.0;8.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;4.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;1.0;3.0;2.0;4.0;4.0;10.0;0.0;8.0;2.0;1.0;2.0;1.0;0.0;7.0;9.0;2.0;3.0;0.0;3.0;5.0
graça;2.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;1.0;2.0;0.0;14.0;0.0;6.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;1.0;4.0;2.0;1.0;0.0;3.0;4.0;2.0;0.0;2.0;1.0;2.0;0.0;2.0;2.0;0.0;2.0;3.0;0.0
higiene;0.0;0.0;1.0;1.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;5.0
hospital;1.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;3.0;0.0;7.0;2.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0
internar;2.0;0.0;0.0;1.0;2.0;1.0;3.0;0.0;1.0;3.0;1.0;8.0;2.0;2.0;2.0;0.0;3.0;0.0;5.0;0.0;2.0;3.0;0.0;3.0;2.0;1.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;4.0;0.0;5.0;0.0;2.0;1.0;2.0;3.0;1.0;3.0;2.0;9.0;2.0;0.0;1.0;1.0;3.0
legume;5.0;0.0;1.0;1.0;2.0;0.0;5.0;1.0;0.0;0.0;0.0;12.0;0.0;4.0;3.0;1.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;8.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;5.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;6.0;1.0;1.0;2.0
leite;4.0;1.0;0.0;1.0;2.0;3.0;2.0;0.0;1.0;0.0;2.0;8.0;3.0;3.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;3.0;1.0;4.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;8.0;0.0;3.0;0.0;0.0;2.0;0.0;1.0;2.0;11.0;1.0;0.0;1.0;2.0;1.0
mal;1.0;0.0;2.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;6.0;2.0;1.0;1.0;0.0;2.0;0.0;1.0;2.0;2.0;2.0;1.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;8.0;1.0;0.0;0.0;4.0;2.0;4.0;2.0;0.0;1.0;3.0;2.0;2.0;2.0;1.0;0.0;2.0;3.0;0.0
manter;2.0;1.0;4.0;1.0;0.0;1.0;4.0;1.0;0.0;1.0;0.0;8.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;2.0;3.0;5.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;7.0;3.0;0.0;2.0;1.0;0.0;1.0
medo;0.0;0.0;1.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;5.0;2.0;4.0;2.0;2.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0;1.0;1.0;2.0;1.0;0.0;6.0;5.0;5.0;2.0;0.0;1.0;2.0;2.0
